type	time	latitude	longitude	altitude (m)	name
T	2008-10-23 02:53:04	39.984702000	116.318417000	150.0	
T	2008-10-23 02:53:10	39.984683000	116.318450000	150.0	
T	2008-10-23 02:53:20	39.984688000	116.318385000	150.0	
T	2008-10-23 02:53:25	39.984655000	116.318263000	150.0	
T	2008-10-23 02:53:30	39.984611000	116.318026000	150.3	
T	2008-10-23 02:53:35	39.984608000	116.317761000	150.3	
T	2008-10-23 02:53:40	39.984563000	116.317517000	151.2	
T	2008-10-23 02:53:45	39.984539000	116.317294000	152.4	
T	2008-10-23 02:53:50	39.984606000	116.317065000	153.9	
T	2008-10-23 02:53:55	39.984568000	116.316911000	155.4	
T	2008-10-23 02:54:00	39.984586000	116.316716000	157.0	
T	2008-10-23 02:54:05	39.984561000	116.316527000	158.5	
T	2008-10-23 02:54:10	39.984536000	116.316354000	160.0	
T	2008-10-23 02:54:15	39.984523000	116.316188000	161.8	
T	2008-10-23 02:54:20	39.984516000	116.315963000	163.4	
T	2008-10-23 02:54:25	39.984523000	116.315823000	164.9	
T	2008-10-23 02:54:30	39.984574000	116.315611000	166.4	
T	2008-10-23 02:54:35	39.984568000	116.315407000	167.9	
T	2008-10-23 02:54:40	39.984538000	116.315148000	169.5	
T	2008-10-23 02:54:45	39.984501000	116.314907000	170.7	
T	2008-10-23 02:54:50	39.984532000	116.314808000	171.9	
T	2008-10-23 02:54:55	39.984504000	116.314625000	173.4	
T	2008-10-23 02:55:00	39.984485000	116.314426000	175.0	
T	2008-10-23 02:55:05	39.984427000	116.314240000	176.5	
T	2008-10-23 02:55:10	39.984485000	116.314042000	178.0	
T	2008-10-23 02:55:15	39.984480000	116.313818000	179.5	
T	2008-10-23 02:55:20	39.984501000	116.313659000	181.4	
T	2008-10-23 02:55:25	39.984618000	116.314323000	34.4	
T	2008-10-23 02:55:30	39.984649000	116.314107000	35.7	
T	2008-10-23 02:55:35	39.984621000	116.313941000	36.9	
T	2008-10-23 02:55:40	39.984655000	116.313724000	38.4	
T	2008-10-23 02:55:45	39.984681000	116.313521000	39.3	
T	2008-10-23 02:55:50	39.984708000	116.313311000	40.5	
T	2008-10-23 02:55:55	39.984708000	116.313099000	41.8	
T	2008-10-23 02:56:00	39.984696000	116.312921000	43.9	
T	2008-10-23 02:56:05	39.984677000	116.312746000	46.6	
T	2008-10-23 02:56:10	39.984682000	116.312525000	47.2	
T	2008-10-23 02:56:15	39.984649000	116.312332000	48.2	
T	2008-10-23 02:56:20	39.984641000	116.312123000	50.0	
T	2008-10-23 02:56:25	39.984647000	116.311917000	51.8	
T	2008-10-23 02:56:30	39.984654000	116.311720000	54.3	
T	2008-10-23 02:56:35	39.984631000	116.311569000	54.9	
T	2008-10-23 02:56:40	39.984647000	116.311380000	56.1	
T	2008-10-23 02:56:45	39.984653000	116.311189000	59.1	
T	2008-10-23 02:56:50	39.984628000	116.311026000	62.8	
T	2008-10-23 02:56:55	39.984652000	116.310854000	65.2	
T	2008-10-23 02:57:00	39.984656000	116.310660000	67.7	
T	2008-10-23 02:57:05	39.984616000	116.310534000	70.4	
T	2008-10-23 02:57:10	39.984676000	116.310330000	71.6	
T	2008-10-23 02:57:15	39.984698000	116.310063000	73.8	
T	2008-10-23 02:57:20	39.984696000	116.309937000	76.2	
T	2008-10-23 02:57:25	39.984663000	116.309851000	79.2	
T	2008-10-23 02:57:30	39.984598000	116.309749000	81.1	
T	2008-10-23 02:57:35	39.984540000	116.309656000	82.3	
T	2008-10-23 02:57:40	39.984525000	116.309503000	82.6	
T	2008-10-23 02:57:45	39.984498000	116.309348000	82.3	
T	2008-10-23 02:57:50	39.984481000	116.309173000	80.8	
T	2008-10-23 02:57:55	39.984489000	116.308993000	79.6	
T	2008-10-23 02:58:00	39.984470000	116.308827000	78.3	
T	2008-10-23 02:58:05	39.984490000	116.308638000	76.5	
T	2008-10-23 02:58:10	39.984490000	116.308485000	75.3	
T	2008-10-23 02:58:15	39.984494000	116.308351000	73.2	
T	2008-10-23 02:58:20	39.984499000	116.308201000	73.2	
T	2008-10-23 02:58:25	39.984484000	116.308049000	74.4	
T	2008-10-23 02:58:30	39.984491000	116.307902000	77.1	
T	2008-10-23 02:58:35	39.984499000	116.307809000	80.5	
T	2008-10-23 02:58:40	39.984472000	116.307687000	82.9	
T	2008-10-23 02:58:45	39.984493000	116.307548000	85.0	
T	2008-10-23 02:58:50	39.984488000	116.307434000	86.0	
T	2008-10-23 02:58:55	39.984427000	116.307292000	85.6	
T	2008-10-23 02:59:00	39.984428000	116.307126000	86.0	
T	2008-10-23 02:59:05	39.984432000	116.306943000	87.8	
T	2008-10-23 02:59:10	39.984425000	116.306801000	86.6	
T	2008-10-23 02:59:15	39.984438000	116.306633000	87.2	
T	2008-10-23 02:59:20	39.984462000	116.306486000	86.6	
T	2008-10-23 02:59:25	39.984466000	116.306300000	86.9	
T	2008-10-23 02:59:30	39.984456000	116.306047000	87.5	
T	2008-10-23 02:59:35	39.984454000	116.305854000	89.9	
T	2008-10-23 02:59:40	39.984412000	116.305682000	90.5	
T	2008-10-23 02:59:45	39.984410000	116.305466000	91.7	
T	2008-10-23 02:59:50	39.984406000	116.305281000	94.2	
T	2008-10-23 02:59:55	39.984393000	116.305023000	95.7	
T	2008-10-23 03:00:00	39.984356000	116.304909000	93.0	
T	2008-10-23 03:00:05	39.984352000	116.304704000	89.9	
T	2008-10-23 03:00:10	39.984338000	116.304543000	89.3	
T	2008-10-23 03:00:15	39.984338000	116.304315000	88.7	
T	2008-10-23 03:00:20	39.984349000	116.304083000	88.4	
T	2008-10-23 03:00:25	39.984368000	116.303934000	86.0	
T	2008-10-23 03:00:30	39.984437000	116.303813000	78.3	
T	2008-10-23 03:00:35	39.984429000	116.303672000	77.1	
T	2008-10-23 03:00:40	39.984342000	116.303444000	72.2	
T	2008-10-23 03:00:45	39.984365000	116.303298000	71.9	
T	2008-10-23 03:00:50	39.984368000	116.303132000	71.0	
T	2008-10-23 03:00:55	39.984385000	116.302920000	70.7	
T	2008-10-23 03:01:00	39.984380000	116.302754000	73.2	
T	2008-10-23 03:01:05	39.984346000	116.302601000	72.8	
T	2008-10-23 03:01:10	39.984303000	116.302457000	72.2	
T	2008-10-23 03:01:15	39.984344000	116.302271000	71.0	
T	2008-10-23 03:01:20	39.984341000	116.302094000	69.5	
T	2008-10-23 03:01:25	39.984359000	116.301888000	66.4	
T	2008-10-23 03:01:30	39.984379000	116.301693000	63.4	
T	2008-10-23 03:01:35	39.984345000	116.301500000	59.7	
T	2008-10-23 03:01:40	39.984345000	116.301309000	57.9	
T	2008-10-23 03:01:45	39.984338000	116.301107000	56.1	
T	2008-10-23 03:01:50	39.984344000	116.300877000	53.3	
T	2008-10-23 03:01:55	39.984278000	116.300674000	51.2	
T	2008-10-23 03:02:00	39.984276000	116.300462000	46.6	
T	2008-10-23 03:02:05	39.984278000	116.300307000	42.7	
T	2008-10-23 03:02:10	39.984252000	116.300156000	40.5	
T	2008-10-23 03:02:15	39.984288000	116.299943000	39.9	
T	2008-10-23 03:02:20	39.984283000	116.299810000	42.1	
T	2008-10-23 03:02:25	39.984335000	116.299744000	44.2	
T	2008-10-23 03:02:30	39.984312000	116.299703000	46.6	
T	2008-10-23 03:02:35	39.984177000	116.299699000	50.0	
T	2008-10-23 03:02:40	39.984140000	116.299697000	53.3	
T	2008-10-23 03:02:45	39.984204000	116.299721000	54.9	
T	2008-10-23 03:02:50	39.984258000	116.299736000	56.1	
T	2008-10-23 03:02:55	39.984031000	116.299573000	60.4	
T	2008-10-23 03:03:00	39.983790000	116.299578000	64.6	
T	2008-10-23 03:03:05	39.983726000	116.299566000	64.9	
T	2008-10-23 03:03:10	39.983692000	116.299496000	63.7	
T	2008-10-23 03:03:15	39.983685000	116.299476000	63.1	
T	2008-10-23 03:03:20	39.983639000	116.299425000	63.7	
T	2008-10-23 03:03:25	39.983629000	116.299353000	63.1	
T	2008-10-23 03:03:30	39.983641000	116.299279000	65.5	
T	2008-10-23 03:03:35	39.983557000	116.299235000	65.5	
T	2008-10-23 03:03:40	39.983509000	116.299238000	64.9	
T	2008-10-23 03:03:45	39.983413000	116.299267000	64.3	
T	2008-10-23 03:03:50	39.983353000	116.299305000	63.7	
T	2008-10-23 03:03:55	39.983337000	116.299321000	62.5	
T	2008-10-23 03:04:00	39.983300000	116.299314000	62.2	
T	2008-10-23 03:04:03	39.983300000	116.299314000	62.2	
T	2008-10-23 03:04:05	39.983304000	116.299307000	61.3	
T	2008-10-23 03:04:10	39.983279000	116.299311000	60.7	
T	2008-10-23 03:04:15	39.983302000	116.299302000	58.8	
T	2008-10-23 03:04:20	39.983276000	116.299265000	57.6	
T	2008-10-23 03:04:25	39.983322000	116.299191000	57.3	
T	2008-10-23 03:04:30	39.983403000	116.299147000	56.4	
T	2008-10-23 03:04:35	39.983548000	116.299083000	57.3	
T	2008-10-23 03:04:40	39.983675000	116.299031000	59.1	
T	2008-10-23 03:04:45	39.983663000	116.298932000	60.7	
T	2008-10-23 03:04:50	39.983533000	116.298903000	61.6	
T	2008-10-23 03:04:55	39.983590000	116.298869000	62.2	
T	2008-10-23 03:05:00	39.983723000	116.298825000	61.9	
T	2008-10-23 03:05:05	39.983902000	116.298773000	62.2	
T	2008-10-23 03:05:10	39.984045000	116.298725000	62.8	
T	2008-10-23 03:05:15	39.984019000	116.298663000	63.7	
T	2008-10-23 04:08:07	39.995777000	116.286798000	218.2	
T	2008-10-23 04:08:12	39.996832000	116.285446000	84.1	
T	2008-10-23 04:08:42	39.984397000	116.299292000	283.8	
T	2008-10-23 04:08:47	39.984426000	116.299329000	292.3	
T	2008-10-23 04:08:52	39.984499000	116.299413000	299.6	
T	2008-10-23 04:08:57	39.984424000	116.299467000	301.8	
T	2008-10-23 04:09:02	39.984410000	116.299477000	286.5	
T	2008-10-23 04:09:07	39.984421000	116.299569000	282.9	
T	2008-10-23 04:09:12	39.984518000	116.299530000	274.9	
T	2008-10-23 04:09:17	39.984488000	116.299645000	273.4	
T	2008-10-23 04:09:22	39.984540000	116.299523000	265.2	
T	2008-10-23 04:09:27	39.984460000	116.299528000	271.6	
T	2008-10-23 04:09:32	39.984463000	116.299508000	269.1	
T	2008-10-23 04:09:37	39.984501000	116.299473000	268.8	
T	2008-10-23 04:09:42	39.984532000	116.299451000	267.9	
